Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Node Degree,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
0,['EH'],117,10.0,2,DBSCAN,auto,haversine,None,None,8,8,23,94,1.73913043478,-0.329367866071,1.0115083048,2.19341632598,0.0101690869031,0.665,0.0,1.0,0.998231653404
1,['EH'],117,20.0,2,DBSCAN,auto,haversine,None,None,6,6,53,64,3.54716981132,-0.137548134201,6.83226682804,1.56892321398,0.0226998415462,0.691036668176,0.0,1.0,0.968169761273
2,['EH'],117,30.0,2,DBSCAN,auto,haversine,None,None,14,14,94,23,4.8085106383,-0.00367508063077,9.32869597503,2.72951337312,0.0303127329026,0.480577962252,0.0,1.0,0.894341290893
3,['EH'],117,40.0,2,DBSCAN,auto,haversine,None,None,7,7,109,8,6.69724770642,-0.213884451164,28.2431014279,1.40907591482,0.0465739938413,0.302000375305,0.0,1.0,0.552755673445
4,['EH'],117,50.0,2,DBSCAN,auto,haversine,None,None,7,7,113,4,8.38938053097,-0.236622446343,43.3103740996,0.744763685755,0.0976098348493,0.273754206057,0.0,1.0,0.519599174772
5,['EH'],117,10.0,3,DBSCAN,auto,haversine,None,None,3,3,13,104,2.30769230769,-0.268006331337,0.504891416212,4.57174291301,0.0112002376003,0.42125,0.0,0.75,0.997494842322
6,['EH'],117,20.0,3,DBSCAN,auto,haversine,None,None,5,5,51,66,3.64705882353,-0.0989136584693,7.57705725581,1.72063411086,0.0226998415462,0.680454956994,0.0,0.989361702128,0.968022399057
7,['EH'],117,30.0,3,DBSCAN,auto,haversine,None,None,9,9,84,33,5.2619047619,-0.0166028839082,8.84786711434,2.05306489232,0.0286544321708,0.458503015115,0.0,0.977876106195,0.893604479811
8,['EH'],117,40.0,3,DBSCAN,auto,haversine,None,None,4,4,103,14,7.02912621359,-0.159219674864,34.1210675021,1.93773713994,0.0465739938413,0.293792456371,0.0,0.991780821918,0.552313586796
9,['EH'],117,50.0,3,DBSCAN,auto,haversine,None,None,4,4,107,10,8.80373831776,-0.159106940102,69.0098916097,0.580476671149,0.146789459511,0.267431768413,0.0,0.993670886076,0.519157088123
10,['EH'],117,20.0,4,DBSCAN,auto,haversine,None,None,4,4,46,71,3.91304347826,-0.0232749249491,8.20859088762,1.71874044721,0.0149843825023,0.642824807605,0.0159411057014,0.946808510638,0.970232832302
11,['EH'],117,30.0,4,DBSCAN,auto,haversine,None,None,5,5,68,49,6.16176470588,-0.0891874692486,11.4863391344,1.63452139228,0.0252764732783,0.401715091237,0.0812454814604,0.920353982301,0.89404656646
12,['EH'],117,40.0,4,DBSCAN,auto,haversine,None,None,4,4,99,18,7.26262626263,0.00478769371996,50.500588393,1.03777485949,0.0267314966087,0.423400262713,0.00555960184918,0.980821917808,0.737105806071
13,['EH'],117,50.0,4,DBSCAN,auto,haversine,None,None,3,3,104,13,9.0,-0.133156510519,83.2151213108,0.564951485174,0.146789459511,0.261129359611,0.0,0.987341772152,0.518715001474
